"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2020","295,129","293,870","298,091","289,236","-","0.55%"
"Dec 02, 2020","293,508","285,992","295,950","279,997","-","2.58%"
"Dec 01, 2020","286,134","304,104","305,139","278,907","-","-5.91%"
"Nov 30, 2020","304,111","277,089","305,238","277,089","-","9.80%"
"Nov 29, 2020","276,979","270,511","279,748","267,387","-","2.47%"
"Nov 28, 2020","270,308","261,489","272,644","257,518","-","3.54%"
"Nov 27, 2020","261,054","261,123","265,384","251,690","-","0.07%"
"Nov 26, 2020","260,860","283,173","286,141","246,764","-","-8.08%"
"Nov 25, 2020","283,794","290,987","297,050","280,585","-","-2.55%"
"Nov 24, 2020","291,212","282,444","297,936","277,750","-","3.00%"
"Nov 23, 2020","282,719","284,270","287,306","277,247","-","-0.44%"
"Nov 22, 2020","283,977","288,201","289,240","272,288","-","-1.47%"
"Nov 21, 2020","288,209","288,049","292,528","283,608","-","0.14%"
"Nov 20, 2020","287,806","274,785","288,114","273,981","-","4.79%"
"Nov 19, 2020","274,638","274,893","281,802","269,913","-","-0.00%"
"Nov 18, 2020","274,646","271,344","283,856","265,385","-","1.16%"
"Nov 17, 2020","271,502","255,980","275,228","253,652","-","6.09%"
"Nov 16, 2020","255,919","247,692","258,470","246,155","-","3.33%"
"Nov 15, 2020","247,677","249,144","250,479","244,764","-","-0.59%"
"Nov 14, 2020","249,153","253,036","253,107","243,659","-","-1.54%"
"Nov 13, 2020","253,054","255,045","257,845","248,585","-","-0.69%"
"Nov 12, 2020","254,804","245,195","255,646","241,882","-","3.90%"
"Nov 11, 2020","245,249","238,848","249,469","238,471","-","2.67%"
"Nov 10, 2020","238,881","235,979","240,706","234,293","-","1.31%"
"Nov 09, 2020","235,784","241,484","244,085","228,304","-","-2.32%"
"Nov 08, 2020","241,372","231,189","243,921","229,507","-","4.44%"
"Nov 07, 2020","231,112","242,876","245,670","224,382","-","-4.87%"
"Nov 06, 2020","242,954","245,101","250,693","237,597","-","-0.80%"
"Nov 05, 2020","244,904","224,470","247,294","223,280","-","9.20%"
"Nov 04, 2020","224,268","224,712","226,894","220,417","-","-0.12%"
"Nov 03, 2020","224,542","219,689","225,091","215,499","-","2.17%"
"Nov 02, 2020","219,775","224,227","225,148","214,790","-","-1.75%"
"Nov 01, 2020","223,685","224,137","225,652","221,460","-","-0.24%"
"Oct 31, 2020","224,219","220,264","228,724","218,362","-","1.83%"
"Oct 30, 2020","220,183","220,306","223,584","214,897","-","0.01%"
"Oct 29, 2020","220,166","217,248","223,843","213,360","-","1.30%"
"Oct 28, 2020","217,341","220,983","224,395","211,811","-","-1.60%"
"Oct 27, 2020","220,880","211,541","223,423","210,913","-","4.39%"
"Oct 26, 2020","211,587","211,465","214,830","207,848","-","0.14%"
"Oct 25, 2020","211,288","212,433","216,123","208,924","-","-0.56%"
"Oct 24, 2020","212,467","209,495","213,154","208,543","-","1.44%"
"Oct 23, 2020","209,461","210,235","211,386","206,594","-","-0.43%"
"Oct 22, 2020","210,367","209,052","213,640","207,319","-","0.50%"
"Oct 21, 2020","209,324","196,063","215,500","195,698","-","6.77%"
"Oct 20, 2020","196,058","194,192","197,443","193,151","-","0.97%"
"Oct 19, 2020","194,167","190,082","194,549","188,249","-","2.20%"
"Oct 18, 2020","189,988","188,067","190,053","187,865","-","1.04%"
"Oct 17, 2020","188,034","187,394","188,724","186,613","-","0.38%"
"Oct 16, 2020","187,332","191,541","192,115","186,091","-","-2.13%"
"Oct 15, 2020","191,405","188,763","192,943","188,021","-","1.40%"
"Oct 14, 2020","188,770","188,100","190,079","186,559","-","0.35%"
"Oct 13, 2020","188,120","190,309","190,831","187,159","-","-1.20%"
"Oct 12, 2020","190,409","187,670","193,229","185,809","-","1.47%"
"Oct 11, 2020","187,650","186,014","188,427","185,718","-","0.86%"
"Oct 10, 2020","186,059","182,048","189,042","182,042","-","2.19%"
"Oct 09, 2020","182,074","181,171","182,684","179,002","-","0.48%"
"Oct 08, 2020","181,205","177,395","181,492","175,197","-","2.11%"
"Oct 07, 2020","177,453","177,222","177,739","175,590","-","0.12%"
"Oct 06, 2020","177,243","178,799","179,470","175,472","-","-0.77%"
"Oct 05, 2020","178,615","175,726","178,627","174,571","-","1.55%"
"Oct 04, 2020","175,880","174,444","176,890","174,063","-","0.86%"
"Oct 03, 2020","174,387","174,904","175,351","173,764","-","-0.26%"
"Oct 02, 2020","174,846","176,230","177,367","172,902","-","-0.80%"
"Oct 01, 2020","176,255","180,526","181,715","173,985","-","-2.26%"
"Sep 30, 2020","180,333","183,654","183,663","178,769","-","-1.79%"
"Sep 29, 2020","183,611","181,665","184,592","180,006","-","0.89%"
"Sep 28, 2020","181,987","184,796","187,271","181,987","-","-1.41%"
"Sep 27, 2020","184,583","183,755","184,962","181,651","-","0.42%"
"Sep 26, 2020","183,801","183,074","184,812","182,468","-","0.44%"
"Sep 25, 2020","183,003","181,819","184,145","178,351","-","0.73%"
"Sep 24, 2020","181,684","175,411","182,707","174,656","-","3.67%"
"Sep 23, 2020","175,249","176,768","179,420","173,256","-","-0.80%"
"Sep 22, 2020","176,655","174,912","177,516","173,407","-","0.89%"
"Sep 21, 2020","175,092","177,885","179,575","174,476","-","-1.59%"
"Sep 20, 2020","177,927","180,951","180,951","175,891","-","-1.64%"
"Sep 19, 2020","180,899","178,522","182,523","177,809","-","1.34%"
"Sep 18, 2020","178,508","176,945","178,708","175,749","-","0.94%"
"Sep 17, 2020","176,853","178,500","180,207","175,162","-","-0.88%"
"Sep 16, 2020","178,421","177,411","180,878","175,649","-","0.63%"
"Sep 15, 2020","177,301","177,687","180,146","176,094","-","-0.24%"
"Sep 14, 2020","177,725","172,826","179,151","171,711","-","2.94%"
"Sep 13, 2020","172,650","174,863","177,195","171,127","-","-1.27%"
"Sep 12, 2020","174,870","173,997","175,462","172,106","-","0.49%"
"Sep 11, 2020","174,018","174,583","175,115","171,508","-","-0.38%"
"Sep 10, 2020","174,687","169,871","175,985","169,776","-","2.83%"
"Sep 09, 2020","169,873","172,064","172,269","169,169","-","-1.27%"
"Sep 08, 2020","172,062","173,569","174,337","167,692","-","-0.75%"
"Sep 07, 2020","173,361","170,222","174,109","165,501","-","1.79%"
"Sep 06, 2020","170,311","168,552","171,861","165,922","-","1.01%"
"Sep 05, 2020","168,601","173,343","175,147","163,913","-","-2.82%"
"Sep 04, 2020","173,497","170,156","176,053","164,940","-","1.87%"
"Sep 03, 2020","170,319","191,548","192,544","167,583","-","-11.06%"
"Sep 02, 2020","191,506","198,179","198,815","188,270","-","-3.42%"
"Sep 01, 2020","198,290","197,528","200,763","195,457","-","0.39%"
"Aug 31, 2020","197,527","194,272","199,069","192,747","-","1.81%"
"Aug 30, 2020","194,006","190,233","194,327","190,138","-","1.94%"
"Aug 29, 2020","190,315","191,193","192,081","189,712","-","-0.46%"
"Aug 28, 2020","191,202","193,080","193,790","189,628","-","-0.76%"
"Aug 27, 2020","192,667","193,165","195,200","190,339","-","-0.35%"
"Aug 26, 2020","193,347","190,486","195,360","189,101","-","1.52%"
"Aug 25, 2020","190,451","199,408","199,601","187,521","-","-4.48%"
"Aug 24, 2020","199,382","199,675","200,851","198,391","-","-0.17%"
"Aug 23, 2020","199,714","200,117","200,973","197,640","-","-0.30%"
"Aug 22, 2020","200,312","197,819","200,479","195,244","-","1.31%"
"Aug 21, 2020","197,730","204,417","204,967","197,234","-","-3.30%"
"Aug 20, 2020","204,470","203,006","205,518","201,567","-","0.79%"
"Aug 19, 2020","202,858","206,766","207,976","200,611","-","-2.05%"
"Aug 18, 2020","207,114","215,153","216,951","205,479","-","-3.59%"
"Aug 17, 2020","214,815","206,907","217,539","204,399","-","3.85%"
"Aug 16, 2020","206,843","206,075","207,454","203,426","-","0.24%"
"Aug 15, 2020","206,349","204,486","208,237","203,934","-","0.96%"
"Aug 14, 2020","204,394","205,620","206,516","202,453","-","-0.37%"
"Aug 13, 2020","205,151","201,961","205,260","197,217","-","1.58%"
"Aug 12, 2020","201,953","199,477","202,565","196,407","-","1.23%"
"Aug 11, 2020","199,500","210,575","211,320","194,804","-","-5.24%"
"Aug 10, 2020","210,521","206,517","213,361","204,264","-","1.94%"
"Aug 09, 2020","206,512","207,603","208,024","203,303","-","-0.48%"
"Aug 08, 2020","207,501","204,479","208,244","203,398","-","1.49%"
"Aug 07, 2020","204,462","205,079","208,988","199,760","-","-0.27%"
"Aug 06, 2020","205,012","203,525","208,214","200,438","-","0.76%"
"Aug 05, 2020","203,467","194,280","204,245","193,026","-","4.73%"
"Aug 04, 2020","194,281","193,038","196,569","192,431","-","0.65%"
"Aug 03, 2020","193,029","188,665","197,326","187,239","-","2.27%"
"Aug 02, 2020","188,749","201,415","206,491","180,166","-","-6.36%"
"Aug 01, 2020","201,567","193,501","202,347","191,577","-","4.31%"
"Jul 31, 2020","193,247","185,794","194,910","183,246","-","3.99%"
"Jul 30, 2020","185,824","183,662","187,286","181,681","-","1.12%"
"Jul 29, 2020","183,771","180,116","187,535","178,723","-","2.05%"
"Jul 28, 2020","180,083","180,777","184,940","175,327","-","-0.43%"
"Jul 27, 2020","180,858","165,551","186,743","165,431","-","9.23%"
"Jul 26, 2020","165,579","161,432","167,610","160,600","-","2.56%"
"Jul 25, 2020","161,440","158,758","161,874","158,595","-","1.66%"
"Jul 24, 2020","158,806","159,908","160,299","157,841","-","-0.70%"
"Jul 23, 2020","159,931","156,970","160,542","155,734","-","1.85%"
"Jul 22, 2020","157,033","154,106","157,033","152,509","-","1.94%"
"Jul 21, 2020","154,048","152,195","155,660","151,884","-","1.20%"
"Jul 20, 2020","152,222","153,746","153,925","152,149","-","-0.88%"
"Jul 19, 2020","153,569","152,972","153,837","151,888","-","0.40%"
"Jul 18, 2020","152,960","152,720","153,474","152,220","-","0.15%"
"Jul 17, 2020","152,731","152,954","153,232","151,702","-","-0.11%"
"Jul 16, 2020","152,901","152,618","153,611","150,821","-","0.25%"
"Jul 15, 2020","152,526","154,680","154,775","152,326","-","-1.37%"
"Jul 14, 2020","154,645","155,533","155,868","153,413","-","-0.60%"
"Jul 13, 2020","155,576","156,610","156,672","154,625","-","-0.56%"
"Jul 12, 2020","156,452","154,891","156,592","153,807","-","1.01%"
"Jul 11, 2020","154,880","155,763","155,971","154,062","-","-0.56%"
"Jul 10, 2020","155,751","155,502","156,252","153,876","-","0.16%"
"Jul 09, 2020","155,497","159,791","159,802","154,861","-","-2.69%"
"Jul 08, 2020","159,788","158,920","160,782","157,640","-","0.57%"
"Jul 07, 2020","158,889","158,568","159,103","157,186","-","0.12%"
"Jul 06, 2020","158,699","154,837","159,133","153,857","-","2.44%"
"Jul 05, 2020","154,925","155,480","155,549","152,135","-","-0.24%"
"Jul 04, 2020","155,305","154,175","156,332","153,943","-","0.61%"
"Jul 03, 2020","154,358","154,370","155,714","153,777","-","0.00%"
"Jul 02, 2020","154,356","157,479","157,844","152,077","-","-1.99%"
"Jul 01, 2020","157,488","158,506","159,011","156,872","-","-0.65%"
"Jun 30, 2020","158,526","158,646","159,676","157,778","-","-0.01%"
"Jun 29, 2020","158,547","157,639","159,538","155,803","-","0.32%"
"Jun 28, 2020","158,047","155,347","158,392","154,263","-","1.71%"
"Jun 27, 2020","155,396","157,932","158,516","152,658","-","-1.60%"
"Jun 26, 2020","157,920","158,679","159,695","156,315","-","-0.53%"
"Jun 25, 2020","158,759","162,084","162,500","157,450","-","-2.08%"
"Jun 24, 2020","162,137","165,515","166,629","160,698","-","-2.07%"
"Jun 23, 2020","165,570","167,454","168,444","165,044","-","-1.10%"
"Jun 22, 2020","167,405","161,687","168,910","161,588","-","3.50%"
"Jun 21, 2020","161,749","162,142","163,133","161,333","-","-0.21%"
"Jun 20, 2020","162,091","161,304","162,757","159,144","-","0.42%"
"Jun 19, 2020","161,412","163,434","163,898","160,454","-","-1.37%"
"Jun 18, 2020","163,652","162,653","164,975","161,719","-","0.67%"
"Jun 17, 2020","162,562","163,991","163,991","159,317","-","-0.80%"
"Jun 16, 2020","163,876","161,099","164,242","160,044","-","1.72%"
"Jun 15, 2020","161,113","160,363","162,491","154,206","-","0.43%"
"Jun 14, 2020","160,418","161,525","161,614","158,543","-","-0.60%"
"Jun 13, 2020","161,382","161,430","161,875","159,751","-","-0.04%"
"Jun 12, 2020","161,440","159,590","162,389","159,158","-","0.98%"
"Jun 11, 2020","159,874","163,289","166,249","157,281","-","-2.11%"
"Jun 10, 2020","163,323","162,354","164,305","160,360","-","0.64%"
"Jun 09, 2020","162,285","162,979","164,377","160,588","-","-0.38%"
"Jun 08, 2020","162,899","163,553","164,210","161,394","-","-0.32%"
"Jun 07, 2020","163,422","163,062","164,972","158,979","-","0.19%"
"Jun 06, 2020","163,109","162,352","164,124","160,903","-","0.47%"
"Jun 05, 2020","162,351","165,701","166,599","161,445","-","-1.95%"
"Jun 04, 2020","165,582","163,533","166,576","160,722","-","1.36%"
"Jun 03, 2020","163,363","163,456","164,475","161,175","-","-0.09%"
"Jun 02, 2020","163,507","177,784","177,784","160,391","-","-7.87%"
"Jun 01, 2020","177,472","166,149","179,996","165,143","-","6.71%"
"May 31, 2020","166,314","170,128","170,210","165,450","-","-2.24%"
"May 30, 2020","170,124","165,413","170,818","164,118","-","2.87%"
"May 29, 2020","165,382","167,900","168,345","163,920","-","-1.21%"
"May 28, 2020","167,405","159,740","168,246","158,290","-","4.89%"
"May 27, 2020","159,604","153,721","160,736","153,424","-","3.76%"
"May 26, 2020","153,825","157,076","157,415","151,498","-","-1.93%"
"May 25, 2020","156,854","153,087","158,166","152,427","-","2.11%"
"May 24, 2020","153,607","161,530","163,582","153,607","-","-4.87%"
"May 23, 2020","161,474","161,339","163,703","159,861","-","0.11%"
"May 22, 2020","161,294","159,416","163,630","157,879","-","1.50%"
"May 21, 2020","158,913","170,501","171,892","155,162","-","-6.84%"
"May 20, 2020","170,572","179,324","180,314","167,963","-","-4.80%"
"May 19, 2020","179,165","178,645","180,131","174,241","-","0.34%"
"May 18, 2020","178,556","179,890","184,670","175,851","-","-0.69%"
"May 17, 2020","179,792","174,193","183,349","173,332","-","3.16%"
"May 16, 2020","174,290","173,006","177,784","171,341","-","0.82%"
"May 15, 2020","172,877","180,507","181,317","170,294","-","-4.16%"
"May 14, 2020","180,379","172,438","183,910","171,586","-","4.90%"
"May 13, 2020","171,957","162,313","174,078","162,044","-","5.99%"
"May 12, 2020","162,240","157,635","164,239","157,452","-","2.37%"
"May 11, 2020","158,480","160,295","168,553","151,980","-","-1.19%"
"May 10, 2020","160,385","175,187","175,246","149,830","-","-8.31%"
"May 09, 2020","174,920","179,901","181,899","174,909","-","-2.85%"
"May 08, 2020","180,056","185,417","186,126","179,572","-","-2.96%"
"May 07, 2020","185,556","172,148","186,839","169,963","-","7.81%"
"May 06, 2020","172,121","166,800","176,382","165,147","-","3.05%"
"May 05, 2020","167,024","164,066","168,113","160,949","-","1.83%"
"May 04, 2020","164,018","168,230","168,971","160,912","-","-2.57%"
"May 03, 2020","168,336","168,778","172,812","164,176","-","-0.18%"
"May 02, 2020","168,648","166,061","169,462","164,976","-","1.62%"
"May 01, 2020","165,964","159,878","169,952","159,878","-","3.57%"
"Apr 30, 2020","160,243","159,433","171,649","155,210","-","0.69%"
"Apr 29, 2020","159,150","144,180","163,113","143,470","-","10.42%"
"Apr 28, 2020","144,129","146,332","146,356","143,335","-","-1.42%"
"Apr 27, 2020","146,205","147,026","147,804","143,585","-","-0.12%"
"Apr 26, 2020","146,386","143,681","146,551","143,409","-","1.87%"
"Apr 25, 2020","143,704","143,029","146,339","142,047","-","0.56%"
"Apr 24, 2020","142,905","142,997","144,589","141,027","-","0.04%"
"Apr 23, 2020","142,854","135,354","145,296","133,192","-","5.58%"
"Apr 22, 2020","135,305","129,780","136,115","129,595","-","4.26%"
"Apr 21, 2020","129,774","128,350","131,397","128,111","-","1.16%"
"Apr 20, 2020","128,291","134,025","136,018","127,673","-","-4.30%"
"Apr 19, 2020","134,050","136,249","136,466","132,754","-","-1.57%"
"Apr 18, 2020","136,193","132,055","136,846","131,841","-","3.04%"
"Apr 17, 2020","132,179","132,707","134,349","131,007","-","-0.35%"
"Apr 16, 2020","132,641","123,536","134,261","121,527","-","7.25%"
"Apr 15, 2020","123,674","125,707","128,652","123,475","-","-1.59%"
"Apr 14, 2020","125,674","123,894","128,200","121,836","-","1.48%"
"Apr 13, 2020","123,847","124,410","124,625","119,299","-","-0.52%"
"Apr 12, 2020","124,499","123,583","128,865","121,852","-","0.67%"
"Apr 11, 2020","123,671","123,274","124,631","121,567","-","0.27%"
"Apr 10, 2020","123,336","131,440","131,674","121,661","-","-6.21%"
"Apr 09, 2020","131,499","134,062","134,062","128,883","-","-1.89%"
"Apr 08, 2020","134,034","131,442","135,726","130,982","-","1.98%"
"Apr 07, 2020","131,426","136,864","139,048","129,464","-","-3.96%"
"Apr 06, 2020","136,845","130,480","136,845","130,276","-","4.91%"
"Apr 05, 2020","130,445","130,489","131,372","127,215","-","0.03%"
"Apr 04, 2020","130,402","128,051","132,923","126,765","-","1.77%"
"Apr 03, 2020","128,130","125,558","132,444","124,590","-","1.82%"
"Apr 02, 2020","125,834","121,277","132,165","119,262","-","3.90%"
"Apr 01, 2020","121,109","114,354","121,809","111,136","-","5.84%"
"Mar 31, 2020","114,428","114,518","117,057","113,389","-","-0.06%"
"Mar 30, 2020","114,501","105,361","117,678","104,844","-","8.55%"
"Mar 29, 2020","105,478","110,055","110,359","103,712","-","-4.10%"
"Mar 28, 2020","109,982","112,085","112,085","106,659","-","-1.94%"
"Mar 27, 2020","112,157","116,966","118,451","110,920","-","-4.08%"
"Mar 26, 2020","116,926","115,658","117,378","114,006","-","1.25%"
"Mar 25, 2020","115,481","118,127","119,984","112,630","-","-2.27%"
"Mar 24, 2020","118,165","114,896","120,950","112,910","-","2.57%"
"Mar 23, 2020","115,208","102,761","115,934","100,802","-","11.80%"
"Mar 22, 2020","103,049","108,811","112,596","101,818","-","-5.22%"
"Mar 21, 2020","108,725","109,176","113,033","103,605","-","-0.79%"
"Mar 20, 2020","109,588","107,255","119,110","101,091","-","2.13%"
"Mar 19, 2020","107,307","92,278","111,352","91,793","-","16.44%"
"Mar 18, 2020","92,156","88,119","92,975","84,287","-","4.50%"
"Mar 17, 2020","88,190","84,489","91,528","82,265","-","5.89%"
"Mar 16, 2020","83,281","87,281","87,526","74,583","-","-4.58%"
"Mar 15, 2020","87,281","84,240","94,911","83,160","-","4.06%"
"Mar 14, 2020","83,871","90,806","91,577","82,301","-","-7.73%"
"Mar 13, 2020","90,900","80,481","94,941","62,779","-","14.48%"
"Mar 12, 2020","79,405","129,198","129,462","74,763","-","-38.39%"
"Mar 11, 2020","128,879","125,893","129,345","123,079","-","2.23%"
"Mar 10, 2020","126,066","127,365","129,863","124,701","-","-1.07%"
"Mar 09, 2020","127,425","128,935","137,679","121,793","-","-1.34%"
"Mar 08, 2020","129,159","139,291","139,291","128,191","-","-7.32%"
"Mar 07, 2020","139,354","143,167","143,712","138,668","-","-2.65%"
"Mar 06, 2020","143,142","140,928","144,334","140,115","-","1.62%"
"Mar 05, 2020","140,860","133,614","143,115","133,614","-","5.39%"
"Mar 04, 2020","133,659","135,107","136,198","132,582","-","-0.98%"
"Mar 03, 2020","134,976","137,333","138,336","132,785","-","-1.65%"
"Mar 02, 2020","137,234","134,520","139,467","133,384","-","1.88%"
"Mar 01, 2020","134,697","133,461","136,901","132,016","-","0.86%"
"Feb 29, 2020","133,551","136,058","137,603","133,551","-","-1.87%"
"Feb 28, 2020","136,100","136,648","138,290","131,379","-","-0.29%"
"Feb 27, 2020","136,501","134,338","138,212","130,567","-","1.55%"
"Feb 26, 2020","134,423","141,795","142,738","131,593","-","-5.23%"
"Feb 25, 2020","141,844","146,093","147,159","140,902","-","-2.95%"
"Feb 24, 2020","146,154","149,963","150,369","143,637","-","-2.65%"
"Feb 23, 2020","150,132","144,768","150,255","144,727","-","3.67%"
"Feb 22, 2020","144,812","145,159","145,573","143,404","-","-0.28%"
"Feb 21, 2020","145,220","145,141","147,296","143,787","-","0.07%"
"Feb 20, 2020","145,111","143,729","146,415","142,910","-","0.89%"
"Feb 19, 2020","143,833","152,714","153,370","140,661","-","-5.78%"
"Feb 18, 2020","152,649","145,486","153,857","144,423","-","5.02%"
"Feb 17, 2020","145,357","147,622","148,349","141,753","-","-1.84%"
"Feb 16, 2020","148,089","147,720","149,826","143,866","-","0.27%"
"Feb 15, 2020","147,685","154,264","154,688","146,295","-","-4.26%"
"Feb 14, 2020","154,250","152,896","154,691","150,367","-","0.91%"
"Feb 13, 2020","152,857","153,575","156,648","150,363","-","-0.56%"
"Feb 12, 2020","153,718","151,500","154,638","150,905","-","1.53%"
"Feb 11, 2020","151,408","147,560","152,730","145,090","-","2.55%"
"Feb 10, 2020","147,644","153,173","153,694","146,701","-","-3.59%"
"Feb 09, 2020","153,141","149,251","153,177","148,989","-","2.60%"
"Feb 08, 2020","149,257","148,054","149,851","145,842","-","0.76%"
"Feb 07, 2020","148,134","145,805","148,584","145,212","-","1.63%"
"Feb 06, 2020","145,765","141,869","146,569","140,711","-","2.73%"
"Feb 05, 2020","141,897","135,973","143,831","135,800","-","4.40%"
"Feb 04, 2020","135,919","138,452","139,172","134,432","-","-1.86%"
"Feb 03, 2020","138,491","139,960","143,487","137,694","-","-1.19%"
"Feb 02, 2020","140,152","140,919","142,136","138,167","-","-0.52%"
"Feb 01, 2020","140,889","140,401","142,025","139,651","-","0.35%"
"Jan 31, 2020","140,400","140,360","141,436","137,687","-","0.04%"
"Jan 30, 2020","140,338","135,859","141,417","134,702","-","3.37%"
"Jan 29, 2020","135,761","136,688","137,881","135,072","-","-0.53%"
"Jan 28, 2020","136,486","130,028","136,570","129,783","-","4.97%"
"Jan 27, 2020","130,027","124,634","131,506","124,464","-","4.45%"
"Jan 26, 2020","124,483","120,074","124,502","119,549","-","3.59%"
"Jan 25, 2020","120,164","121,478","121,585","119,126","-","-1.11%"
"Jan 24, 2020","121,512","120,904","122,895","118,043","-","0.48%"
"Jan 23, 2020","120,935","124,604","124,604","119,681","-","-2.89%"
"Jan 22, 2020","124,530","126,779","127,425","123,331","-","-1.65%"
"Jan 21, 2020","126,621","125,458","127,250","123,619","-","1.02%"
"Jan 20, 2020","125,337","126,006","126,842","123,810","-","-0.60%"
"Jan 19, 2020","126,093","128,935","132,958","123,528","-","-2.21%"
"Jan 18, 2020","128,941","128,856","129,891","127,321","-","0.04%"
"Jan 17, 2020","128,883","125,741","129,697","125,008","-","2.39%"
"Jan 16, 2020","125,872","126,986","127,485","123,677","-","-0.91%"
"Jan 15, 2020","127,033","126,848","128,288","123,607","-","-0.20%"
"Jan 14, 2020","127,289","116,691","127,923","116,691","-","9.16%"
"Jan 13, 2020","116,608","117,359","117,515","115,321","-","-0.61%"
"Jan 12, 2020","117,322","115,034","117,490","114,280","-","1.92%"
"Jan 11, 2020","115,114","117,550","118,844","114,842","-","-2.09%"
"Jan 10, 2020","117,567","111,239","117,567","109,404","-","5.63%"
"Jan 09, 2020","111,303","114,077","114,077","110,400","-","-2.28%"
"Jan 08, 2020","113,902","117,062","121,765","111,684","-","-2.77%"
"Jan 07, 2020","117,146","110,290","118,001","110,290","-","6.23%"
"Jan 06, 2020","110,281","105,420","110,652","104,969","-","4.60%"
"Jan 05, 2020","105,433","105,191","107,159","104,827","-","0.17%"
"Jan 04, 2020","105,253","104,961","105,829","104,211","-","0.56%"
"Jan 03, 2020","104,662","98,152","105,442","96,980","-","6.66%"
"Jan 02, 2020","98,126","100,875","101,021","97,888","-","-2.72%"
"Jan 01, 2020","100,869","100,729","101,624","100,539","-","0.07%"
